name,type,distance,moving_time,average_heartrate,total_elevation_gain,workout_type,start_date_local,mile_pace,week_start,is_warmup_cooldown,pace_percentile,distance_percentile
Wu,Run,1.71975,13.383333333333333,,4.0,Warmup/Cooldown,2025-05-17 14:01:00,7.7821388767747255,2025-05-12,False,0.2611464968152866,0.3375796178343949
Pre-meet,Run,2.779375,21.716666666666665,159.5,37.8,Easy Run,2025-05-16 16:48:13,7.813507233340829,2025-05-12,False,0.21656050955414013,0.4394904458598726
Afternoon Run,Run,0.5109375,3.85,139.6,0.0,Easy Run,2025-05-16 16:22:39,7.535168195718654,2025-05-12,False,0.46496815286624205,0.10828025477707007
18th B-Day run with Winter!,Run,4.2865,29.316666666666666,147.9,103.9,None,2025-05-15 16:32:39,6.839301683580232,2025-05-12,False,0.7898089171974523,0.6305732484076433
Afternoon Run,Run,0.314125,1.2833333333333334,117.9,0.0,None,2025-05-14 17:14:35,4.085422469823585,2025-05-12,False,0.9490445859872612,0.03821656050955414
Afternoon Run,Run,0.8834375,6.566666666666666,143.4,0.0,Easy Run,2025-05-14 16:43:27,7.433085721023464,2025-05-12,False,0.5477707006369427,0.17834394904458598
Afternoon Run,Run,0.7588124999999999,6.016666666666667,130.4,0.0,Warmup/Cooldown,2025-05-14 16:24:09,7.929055816379761,2025-05-12,True,,
Afternoon Run,Run,5.3894375000000005,42.4,157.2,145.3,None,2025-05-13 16:17:54,7.867240319606637,2025-05-12,False,0.19745222929936307,0.732484076433121
Afternoon Run,Run,0.70375,4.8,133.0,0.0,Easy Run,2025-05-13 16:01:02,6.820603907637655,2025-05-12,False,0.7961783439490446,0.12738853503184713
Afternoon Run,Run,0.586375,4.933333333333334,147.6,0.0,Warmup/Cooldown,2025-05-12 17:45:05,8.413273644567612,2025-05-12,True,,
6x 300m speed somethings,Run,1.1299375,4.666666666666667,132.8,0.0,None,2025-05-12 17:15:03,4.13002194074156,2025-05-12,False,0.9426751592356688,0.2484076433121019
Afternoon Run,Run,1.160875,9.05,157.3,13.2,Easy Run,2025-05-12 16:58:51,7.795843652417357,2025-05-12,False,0.2356687898089172,0.25477707006369427
Wu,Run,0.7695624999999999,4.833333333333333,140.9,0.0,Warmup/Cooldown,2025-05-12 16:37:04,6.280624813882347,2025-05-12,False,0.8152866242038217,0.16560509554140126
KingCo and marathon grind begins!,Run,6.971375,50.5,161.4,206.3,None,2025-05-10 08:12:43,7.243908124293988,2025-05-05,False,0.6496815286624203,0.8598726114649682
